#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2
1603,Jairo Pomares,682646,682646,sa3010023,10399,*04ru8*,SF,OF,OF,Pomares,Jairo,Pomares,Jairo
1604,Malcom Nunez,682650,682650,sa3008113,10413,*04rzr*,PIT,1B,1B,Nunez,Malcom,Nunez,Malcom
1605,Angel Martinez,682657,682657,26540,11675,*04ydd*,CLE,SS/OF,2B/SS/ 3B/OF,Martinez,Angel,Martínez,Angel
1606,Luisangel Acuna,682668,682668,sa3008765,11614,*04z6k*,NYM,SS,SS,Acuna,Luisangel,Acuña,Luisangel
1607,Jonatan Clase,682729,682729,26599,11656,*057zc*,TOR,OF,OF,Clase,Jonatan,Clase,Jonatan
1608,Wikelman Gonzalez,682790,682790,sa3008687,11953,*052ht*,BOS,SP,SP,Gonzalez,Wikelman,Gonzalez,Wikelman
1609,Elly De La Cruz,682829,682829,26668,11583,*05udp*,CIN,SS/3B,SS/3B,De La Cruz,Elly,De La Cruz,Elly
1610,Abner Uribe,682842,682842,25327,11664,*05nso*,MIL,RP,RP,Uribe,Abner,Uribe,Abner
1611,Luis L. Ortiz,682847,682847,27646,11572,,PIT,SP,SP,Ortiz,Luis L.,Ortiz,Luis L.
1612,Endy Rodriguez,682848,682848,25332,11584,*0529l*,PIT,C,C,Rodriguez,Endy,Rodríguez,Endy
1613,Bryan Ramos,682868,682868,25621,11658,*059bs*,CHW,3B,3B,Ramos,Bryan,Ramos,Bryan
1614,Juan Brito,682877,682877,sa3009808,11773,*05yhe*,CLE,2B,2B,Brito,Juan,Brito,Juan
1615,CJ Abrams,682928,682928,25768,11045,*04qk8*,WSH,SS,SS,Abrams,CJ,Abrams,CJ
1616,Devin Sweet,682967,682967,25348,11828,*059ed*,DET,RP,RP,Sweet,Devin,Sweet,Devin
1617,Daniel Espino,682982,682982,sa3011495,10926,*04ya2*,CLE,SP,SP,Espino,Daniel,Espino,Daniel
1618,Riley Greene,682985,682985,25976,10822,*04nb2*,DET,OF,OF,Greene,Riley,Greene,Riley
1619,Spencer Jones,682987,682987,sa3019969,12047,*04yi8*,NYY,OF,OF,Jones,Spencer,Jones,Spencer
1620,Tyler Locklear,682988,682988,31396,12049,*05xu8*,SEA,1B,1B,Locklear,Tyler,Locklear,Tyler
1621,Victor Mederos,682989,682989,31533,11819,*05jrb*,LAA,SP,SP,Mederos,Victor,Mederos,Victor
1622,Quinn Priester,682990,682990,25977,11131,*050vn*,BOS,SP,SP,Priester,Quinn,Priester,Quinn
1623,Tyler Callihan,682997,682997,sa1169610,11142,*04y9i*,CIN,2B,2B,Callihan,Tyler,Callihan,Tyler
1624,Corbin Carroll,682998,682998,25878,11025,*04y4e*,ARI,OF,OF,Carroll,Corbin,Carroll,Corbin
1625,Gunnar Henderson,683002,683002,26289,11108,*050w9*,BAL,SS/3B,SS/3B,Henderson,Gunnar,Henderson,Gunnar
1626,Jared Jones,683003,683003,27863,11893,*05h2u*,PIT,SP,SP,Jones,Jared,Jones,Jared
1627,Jack Leiter,683004,683004,30146,11327,*04y9o*,TEX,SP,SP,Leiter,Jack,Leiter,Jack
1628,Anthony Volpe,683011,683011,27647,11325,*04y9p*,NYY,SS,SS,Volpe,Anthony,Volpe,Anthony
1629,Michael Stefanic,683021,683021,25353,11419,*05t5r*,LAA,2B,2B/3B,Stefanic,Michael,Stefanic,Michael
1630,Alexander Vargas,683061,683061,sa3008851,10375,*04tm2*,NYY,SS,SS,Vargas,Alexander,Vargas,Alexander
1631,Nasim Nunez,683083,683083,25979,12010,*04ya4*,WSH,SS,SS,Nunez,Nasim,Nuñez,Nasim
1632,Brett Baty,683146,683146,26123,11123,*04yib*,NYM,3B,3B,Baty,Brett,Baty,Brett
1633,Joey Estes,683155,683155,26257,11871,*051cl*,OAK,SP,SP,Estes,Joey,Estes,Joey
1634,Connor Phillips,683175,683175,27649,11855,*05jpe*,CIN,SP,SP,Phillips,Connor,Phillips,Connor
1635,Nick Mears,683232,683232,25376,10910,*05a06*,MIL,RP,RP,Mears,Nick,Mears,Nick
1636,Oscar Hernandez,683427,683427,sa3010155,8978,,KC,C,C,Hernandez,Oscar,Hernandez,Oscar
1637,Jairo Iriarte,683568,683568,sa3010798,11913,*060q2*,CHW,SP,SP,Iriarte,Jairo,Iriarte,Jairo
1638,Royber Salinas,683690,683690,sa3009243,11927,*05wy3*,OAK,SP,SP,Salinas,Royber,Salinas,Royber
1639,Andrew Vaughn,683734,683734,26197,10788,*04si2*,CHW,1B,1B,Vaughn,Andrew,Vaughn,Andrew
1640,Michael Busch,683737,683737,26319,11048,*04t9b*,CHC,1B/3B,1B/3B,Busch,Michael,Busch,Michael
1641,Matt Canterino,683764,683764,sa3011530,11134,*0511v*,MIN,SP,SP,Canterino,Matt,Canterino,Matt
1642,Hunter Gaddis,683769,683769,25636,11528,*05143*,CLE,RP,RP,Gaddis,Hunter,Gaddis,Hunter
1643,Naoyuki Uwasawa,683822,683822,33828,12000,*04zaw*,BOS,RP,RP,Uwasawa,Naoyuki,Uwasawa,Naoyuki
1644,Shota Imanaga,684007,684007,33829,11884,*05ge9*,CHC,SP,SP,Imanaga,Shota,Imanaga,Shota
1645,Yariel Rodriguez,684320,684320,33838,11916,*06at1*,TOR,SP,SP,Rodriguez,Yariel,Rodríguez,Yariel
1646,Anthony Veneziano,685107,685107,27453,11870,*0517a*,KC,SP,SP,Veneziano,Anthony,Veneziano,Anthony
1647,Wade Meckler,685133,685133,31490,11842,*066cn*,SF,OF,OF,Meckler,Wade,Meckler,Wade
1648,Andrew Saalfrank,685314,685314,26203,11856,*0514i*,ARI,RP,RP,Saalfrank,Andrew,Saalfrank,Andrew
1649,Misael Tamarez,685377,685377,sa3009632,12052,*05rkf*,HOU,SP,SP,Tamarez,Misael,Tamarez,Misael
1650,Peyton Battenfield,685410,685410,25777,11408,,COL,RP,RP,Battenfield,Peyton,Battenfield,Peyton
1651,Sal Frelick,686217,686217,29622,11581,*05rb1*,MIL,OF,OF,Frelick,Sal,Frelick,Sal
1652,Emmet Sheehan,686218,686218,29839,11811,*05y2l*,LAD,SP,SP,Sheehan,Emmet,Sheehan,Emmet
1653,Amos Willingham,686294,686294,26128,11818,*051d7*,WSH,RP,RP,Willingham,Amos,Willingham,Amos
1654,Drew Millas,686452,686452,25643,11849,*0515f*,WSH,C,C,Millas,Drew,Millas,Drew
1655,Vinnie Pasquantino,686469,686469,27676,11415,*05184*,KC,1B,1B,Pasquantino,Vinnie,Pasquantino,Vinnie
1656,Cam Eden,686490,686490,25476,11872,,NYY,OF,OF,Eden,Cam,Eden,Cam
1657,Dominic Canzone,686527,686527,26438,11778,*05161*,SEA,OF,OF,Canzone,Dominic,Canzone,Dominic
1658,Andre Lipcius,686531,686531,25822,11673,*0512j*,LAD,3B,3B,Lipcius,Andre,Lipcius,Andre
1659,Declan Cronin,686539,686539,25645,11834,*06ejy*,MIA,RP,RP,Cronin,Declan,Cronin,Declan
1660,Oliver Dunn,686554,686554,26295,12036,*0518b*,MIL,2B/3B,2B/3B,Dunn,Oliver,Dunn,Oliver
1661,Jonathan Cannon,686563,686563,31730,12078,*05rb2*,CHW,SP,SP,Cannon,Jonathan,Cannon,Jonathan
1662,Justin Slaten,686580,686580,25648,12008,*0512q*,BOS,RP,RP,Slaten,Justin,Slaten,Justin
1663,Ken Waldichuk,686610,686610,27681,11422,*0513y*,OAK,SP,SP,Waldichuk,Ken,Waldichuk,Ken
1664,Dylan Crews,686611,686611,sa3022882,11922,*0596e*,WSH,OF,OF,Crews,Dylan,Crews,Dylan
1665,Hunter Brown,686613,686613,25880,11435,*05144*,HOU,SP,SP,Brown,Hunter,Brown,Hunter
1666,Levi Stoudt,686651,686651,25650,11432,*0512k*,BAL,RP,RP,Stoudt,Levi,Stoudt,Levi
1667,Brenton Doyle,686668,686668,25479,11653,*0513l*,COL,OF,OF,Doyle,Brenton,Doyle,Brenton
1668,Korey Lee,686676,686676,25543,11313,*0510z*,CHW,C,C,Lee,Korey,Lee,Korey
1669,Michael Massey,686681,686681,27684,11516,*05139*,KC,2B,2B,Massey,Michael,Massey,Michael
1670,Carson Spiers,686730,686730,27685,11854,*05r3k*,CIN,SP,SP,Spiers,Carson,Spiers,Carson
1671,Joe La Sorsa,686747,686747,25481,11798,*06l4d*,WSH,RP,RP,La Sorsa,Joe,La Sorsa,Joe
1672,Seth Johnson,686751,686751,sa3011342,11141,*0511t*,PHI,SP,SP,Johnson,Seth,Johnson,Seth
1673,Ryan Pepiot,686752,686752,26221,11059,*0512m*,TB,SP,SP,Pepiot,Ryan,Pepiot,Ryan
1674,Drey Jameson,686753,686753,26260,11403,*0511r*,ARI,RP,RP,Jameson,Drey,Jameson,Drey
1675,TJ Hopkins,686759,686759,25482,11801,*0516l*,DET,OF,OF,Hopkins,TJ,Hopkins,TJ
1676,Nick Sogard,686765,686765,25483,12138,*0519f*,BOS,2B,2B,Sogard,Nick,Sogard,Nick
1677,Pedro Pages,686780,686780,25782,10880,*0514k*,STL,C,C,Pages,Pedro,Pagés,Pedro
1678,Blake Walston,686796,686796,26270,11033,*050s3*,ARI,SP,SP,Walston,Blake,Walston,Blake
1679,Brooks Lee,686797,686797,31595,11740,*04yig*,MIN,SS/3B,SS/3B,Lee,Brooks,Lee,Brooks
1680,Will Brennan,686823,686823,25660,11578,*05165*,CLE,OF,OF,Brennan,Will,Brennan,Will
1681,Bryce Jarvis,686826,686826,27477,11031,*05gvt*,ARI,RP,RP,Jarvis,Bryce,Jarvis,Bryce
1682,Colby White,686831,686831,sa3011200,11410,*0514q*,NYY,RP,RP,White,Colby,White,Colby
1683,Brendan White,686839,686839,26024,11674,*066p9*,DET,RP,RP,White,Brendan,White,Brendan
1684,McKinley Moore,686842,686842,25663,11783,*051ai*,NYY,RP,RP,Moore,McKinley,Moore,McKinley
1685,Joey Wiemer,686894,686894,27690,11406,*05jq3*,CIN,OF,OF,Wiemer,Joey,Wiemer,Joey
1686,Cole Waites,686972,686972,25665,11571,*051dv*,SF,RP,RP,Waites,Cole,Waites,Cole
1687,Louie Varland,686973,686973,27691,11424,*051bm*,MIN,SP,SP,Varland,Louie,Varland,Louie
1688,Vaughn Grissom,687093,687093,26031,11531,*0518n*,BOS,2B/SS,2B/SS,Grissom,Vaughn,Grissom,Vaughn
1689,Evan Justice,687145,687145,30008,11845,*05yae*,COL,RP,RP,Justice,Evan,Justice,Evan
1690,Darell Hernaiz,687231,687231,26224,11920,*05145*,OAK,SS/3B,SS/3B,Hernaiz,Darell,Hernaiz,Darell
1691,Zach Neto,687263,687263,31347,11741,*05xu5*,LAA,SS,SS,Neto,Zach,Neto,Zach
1692,Devereaux Harrison,687288,687288,sa3020259,12008,*05yaq*,TOR,SP,SP,Harrison,Devereaux,Harrison,Devereaux
1693,Kevin Kelly,687330,687330,25679,11729,*051eh*,TB,RP,RP,Kelly,Kevin,Kelly,Kevin
1694,Victor Scott II,687363,687363,31349,11947,*0648z*,STL,OF,OF,Scott II,Victor,Scott II,Victor
1695,Chad Bell,687382,687382,sa3010888,9467,*051ez*,NYY,3B,3B,Bell,Chad,Bell,Chad
1696,Brent Headrick,687396,687396,27702,11689,*0516x*,MIN,SP,SP,Headrick,Brent,Headrick,Brent
1697,Joey Ortiz,687401,687401,25493,11625,*0513c*,MIL,2B/3B,2B/3B,Ortiz,Joey,Ortiz,Joey
1698,Anthony Maldonado,687424,687424,26034,11997,*0518d*,MIA,RP,RP,Maldonado,Anthony,Maldonado,Anthony
1699,Hudson Head,687431,687431,sa3010889,11047,*0512p*,PIT,OF,OF,Head,Hudson,Head,Hudson
1700,Spencer Horwitz,687462,687462,26477,11434,*051ia*,TOR,1B/2B,1B/2B,Horwitz,Spencer,Horwitz,Spencer
1701,Grant McCray,687529,687529,25690,12154,*0512r*,SF,OF,OF,McCray,Grant,McCray,Grant
1702,Drew Gilbert,687551,687551,sa3019980,11955,*05xu0*,NYM,OF,OF,Gilbert,Drew,Gilbert,Drew
1703,Dominic Hamel,687589,687589,sa3017949,12015,*05udy*,NYM,SP,SP,Hamel,Dominic,Hamel,Dominic
1704,Jordan Beck,687597,687597,31431,12084,*051b4*,COL,OF,OF,Beck,Jordan,Beck,Jordan
1705,Kaden Polcovich,687659,687659,sa3014496,10868,*05lnl*,SEA,2B,2B,Polcovich,Kaden,Polcovich,Kaden
1706,Jackson Cluff,687714,687714,sa3010342,11124,*05150*,WSH,SS,SS,Cluff,Jackson,Cluff,Jackson
1707,Mitch Spence,687765,687765,27707,12002,*0517z*,OAK,SP,SP,Spence,Mitch,Spence,Mitch
1708,DJ Herz,687792,687792,26389,11969,*0516h*,WSH,SP,SP,Herz,DJ,Herz,DJ
1709,Nick Robertson,687798,687798,26226,11805,*0515s*,LAA,RP,RP,Robertson,Nick,Robertson,Nick
1710,Cade Marlowe,687799,687799,25505,11657,*051fl*,SEA,OF,OF,Marlowe,Cade,Marlowe,Cade
1711,Sawyer Gipson-Long,687830,687830,26048,11863,*0514z*,DET,SP,SP,Gipson-Long,Sawyer,Gipson-Long,Sawyer
1712,Troy Johnston,687859,687859,sa3010899,11905,*051d0*,MIA,1B,1B,Johnston,Troy,Johnston,Troy
1713,Porter Hodge,687863,687863,26413,11980,*051aa*,CHC,RP,RP,Hodge,Porter,Hodge,Porter
1714,Brandon Walter,687888,687888,26056,11608,*05rk4*,HOU,SP,SP,Walter,Brandon,Walter,Brandon
1715,Easton Lucas,687922,687922,26058,11859,*051am*,TOR,RP,RP,Lucas,Easton,Lucas,Easton
1716,Julian Aguiar,687924,687924,sa3017763,11959,*05yg3*,CIN,SP,SP,Aguiar,Julian,Aguiar,Julian
1717,Carson Whisenhunt,687931,687931,sa3020529,11956,*05y7v*,SF,SP,SP,Whisenhunt,Carson,Whisenhunt,Carson
1718,Christian Encarnacion-Strand,687952,687952,30011,11736,*05xor*,CIN,1B,1B,Encarnacion-Strand,Christian,Encarnacion-Strand,Christian
1719,Dustin Harris,687957,687957,sa3010279,11589,*0518r*,TEX,OF,OF,Harris,Dustin,Harris,Dustin
1720,Robert Gasser,688107,688107,29812,11745,*05u6r*,MIL,SP,SP,Gasser,Robert,Gasser,Robert
1721,Graham Pauley,688363,688363,31363,11954,*066lr*,MIA,3B,3B,Pauley,Graham,Pauley,Graham
1722,Kolton Ingram,688427,688427,26068,11702,*060up*,SF,RP,RP,Ingram,Kolton,Ingram,Kolton
1723,Justin Dirden,688869,688869,sa3014986,11746,,MIL,OF,OF,Dirden,Justin,Dirden,Justin
1724,Landon Knack,689017,689017,27487,11058,*05l9f*,LAD,SP,SP,Knack,Landon,Knack,Landon
1725,Orion Kerkering,689147,689147,31776,11876,*06491*,PHI,RP,RP,Kerkering,Orion,Kerkering,Orion
1726,Jeff Lindgren,689167,689167,25830,11782,*051if*,MIA,RP,RP,Lindgren,Jeff,Lindgren,Jeff
1727,Brett Wisely,689172,689172,27735,11768,*051br*,SF,2B/SS,2B/SS,Wisely,Brett,Wisely,Brett
1728,Jacob Melton,689200,689200,sa3019988,12046,*061gx*,HOU,OF,OF,Melton,Jacob,Melton,Jacob
1729,Beau Brieske,689225,689225,26079,11429,*05t6u*,DET,RP,RP,Brieske,Beau,Brieske,Beau
1730,Dylan Dodd,689266,689266,29928,11765,*05uy4*,ATL,SP,SP,Dodd,Dylan,Dodd,Dylan
1731,Liam Hicks,689414,689414,sa3017400,11943,*05ynb*,DET,C,C,Hicks,Liam,Hicks,Liam
1732,Drew Thorpe,689672,689672,31967,11896,*05yb1*,CHW,SP,SP,Thorpe,Drew,Thorpe,Drew
1733,Alek Jacob,689690,689690,29628,11824,*05xq0*,SD,RP,RP,Jacob,Alek,Jacob,Alek
1734,River Ryan,689981,689981,29514,11910,*05ynx*,LAD,SP,SP,Ryan,River,Ryan,River
1735,Jace Jung,690291,690291,31437,11929,*05tzg*,DET,2B,2B,Jung,Jace,Jung,Jace
1736,Ben Joyce,690829,690829,31461,11754,*060eu*,LAA,RP,RP,Joyce,Ben,Joyce,Ben
1737,Richard Fitts,690916,690916,sa3018182,12014,*05rav*,BOS,SP,SP,Fitts,Richard,Fitts,Richard
1738,Clayton Beeter,690925,690925,27494,11106,*05jnq*,NYY,SP,SP,Beeter,Clayton,Beeter,Clayton
1739,Mick Abel,690953,690953,sa3014534,11632,*05g4k*,PHI,SP,SP,Abel,Mick,Abel,Mick
1740,Dax Fulton,690978,690978,sa3014535,11757,*05gwu*,MIA,SP,SP,Fulton,Dax,Fulton,Dax
1741,Kyle Harrison,690986,690986,27758,11597,*05js3*,SF,SP,SP,Harrison,Kyle,Harrison,Kyle
1742,Robert Hassell III,690987,690987,sa3014701,11046,,WSH,OF,OF,Hassell III,Robert,Hassell III,Robert
1743,Austin Hendrick,690988,690988,sa3014521,10828,*04n1t*,CIN,OF,OF,Hendrick,Austin,Hendrick,Austin
1744,Cade Horton,690990,690990,sa3020860,11886,*05gww*,CHC,SP,SP,Horton,Cade,Horton,Cade
1745,Colt Keith,690993,690993,27899,11825,*05jrh*,DET,2B/3B,2B/3B,Keith,Colt,Keith,Colt
1746,Drew Romo,691011,691011,27763,11914,*05gwr*,COL,C,C,Romo,Drew,Romo,Drew
1747,Tyler Soderstrom,691016,691016,27467,11071,*05gtn*,OAK,1B,C/1B,Soderstrom,Tyler,Soderstrom,Tyler
1748,Kyle Teel,691019,691019,sa3022886,11901,*05wxy*,BOS,C,C,Teel,Kyle,Teel,Kyle
1749,A.J. Vukovich,691021,691021,sa3014525,11616,*05jql*,ARI,3B,3B,Vukovich,A.J.,Vukovich,A.J.
1750,Jordan Walker,691023,691023,27475,10885,*05gbf*,STL,OF,OF,Walker,Jordan,Walker,Jordan
1751,Masyn Winn,691026,691026,27479,10899,*05gwy*,STL,SS,SS,Winn,Masyn,Winn,Masyn
1752,Randy Wynne,691094,691094,25804,11816,*058py*,CIN,SP,SP,Wynne,Randy,Wynne,Randy
1753,Yosver Zulueta,691172,691172,27765,11687,*05it9*,CIN,RP,RP,Zulueta,Yosver,Zulueta,Yosver
1754,Jasson Dominguez,691176,691176,28080,11749,*050c3*,NYY,OF,OF,Dominguez,Jasson,Domínguez,Jasson
1755,Adael Amador,691182,691182,27962,11965,*04ysv*,COL,2B/SS,2B/SS,Amador,Adael,Amador,Adael
1756,Deyvison De Los Santos,691277,691277,sa3015168,11615,*05nsq*,MIA,3B,3B,De Los Santos,Deyvison,De Los Santos,Deyvison
1757,Junior Caminero,691406,691406,28163,11875,*05xch*,TB,3B,3B,Caminero,Junior,Caminero,Junior
1758,Cristian Mena,691441,691441,27974,11978,*05ita*,ARI,SP,SP,Mena,Cristian,Mena,Cristian
1759,Yolbert Sanchez,691503,691503,sa3011471,10529,*04yrn*,ATL,SS,SS,Sanchez,Yolbert,Sanchez,Yolbert
1760,Eury Perez,691587,691587,27768,11591,*05aoc*,MIA,SP,SP,Perez,Eury,Pérez,Eury
1761,Jeferson Quero,691620,691620,sa3015407,11906,*05gss*,MIL,C,C,Quero,Jeferson,Quero,Jeferson
1762,Pete Crow-Armstrong,691718,691718,27769,11864,*051wv*,CHC,OF,OF,Crow-Armstrong,Pete,Crow-Armstrong,Pete
1763,Jared Kelley,691721,691721,sa3014471,11091,*05g4j*,CHW,SP,SP,Kelley,Jared,Kelley,Jared
1764,Coby Mayo,691723,691723,28312,11889,*05js5*,BAL,3B,3B,Mayo,Coby,Mayo,Coby
1765,Andrew Painter,691725,691725,sa3017880,11585,*05r3i*,PHI,SP,SP,Painter,Andrew,Painter,Andrew
1766,Zac Veen,691728,691728,sa3014516,11331,*05gbg*,COL,OF,OF,Veen,Zac,Veen,Zac
1767,Brady House,691781,691781,sa3017694,11926,*059bx*,WSH,3B,3B,House,Brady,House,Brady
1768,Jordan Lawlar,691783,691783,29976,11439,*05r1m*,ARI,SS,SS,Lawlar,Jordan,Lawlar,Jordan
1769,Marcelo Mayer,691785,691785,sa3017114,11934,*05r9j*,BOS,SS,SS,Mayer,Marcelo,Mayer,Marcelo
1770,Jesus Castillo,691913,691913,sa3015587,9853,*062l1*,PIT,SS,SS,Castillo,Jesus,Castillo,Jesus
1771,Jake Vogel,691949,691949,sa3014473,11135,*05jsa*,LAD,OF,OF,Vogel,Jake,Vogel,Jake
1772,Carlos Rodriguez,692230,692230,30161,11915,*04loe*,MIL,SP,SP,Rodriguez,Carlos,Rodriguez,Carlos
1773,Oscar Colas,693049,693049,30162,11181,*05g2r*,CHW,OF,OF,Colas,Oscar,Colás,Oscar
1774,Nick Gonzales,693304,693304,27490,11038,*0597k*,PIT,2B,2B/SS,Gonzales,Nick,Gonzales,Nick
1775,Dillon Dingler,693307,693307,27464,10920,*05gx4*,DET,C,C,Dingler,Dillon,Dingler,Dillon
1776,Nick Frasso,693308,693308,sa3014492,11931,*05jpo*,LAD,SP,SP,Frasso,Nick,Frasso,Nick
1777,Burl Carraway,693310,693310,sa3014495,11074,*05jp6*,CHC,RP,RP,Carraway,Burl,Carraway,Burl
1778,Tink Hence,693311,693311,sa3014709,12033,*05jpx*,STL,SP,SP,Hence,Tink,Hence,Tink
1779,Kyle Nicolas,693312,693312,27775,11869,*05l9g*,PIT,RP,RP,Nicolas,Kyle,Nicolas,Kyle
1780,Bryan Woo,693433,693433,30279,11800,*05y62*,SEA,SP,SP,Woo,Bryan,Woo,Bryan
1781,Taylor Dollard,693440,693440,sa3014982,11721,*05jrq*,SEA,SP,SP,Dollard,Taylor,Dollard,Taylor
1782,Emiliano Teodo,693713,693713,sa3015158,11945,*05uo4*,TEX,SP,SP,Teodo,Emiliano,Teodo,Emiliano
1783,Bryce Elder,693821,693821,27779,11307,*05jp9*,ATL,SP,SP,Elder,Bryce,Elder,Bryce
1784,Ian Seymour,693855,693855,sa3014512,11420,*05jpd*,TB,SP,SP,Seymour,Ian,Seymour,Ian
1785,Daniel Palencia,694037,694037,27914,11821,*05u4l*,CHC,RP,RP,Palencia,Daniel,Palencia,Daniel
1786,Pedro Leon,694175,694175,27781,11198,*05gdv*,HOU,OF,OF,Leon,Pedro,León,Pedro
1787,Jackson Chourio,694192,694192,28806,11738,*05m1e*,MIL,OF,OF,Chourio,Jackson,Chourio,Jackson
1788,Samuel Basallo,694212,694212,sa3015716,12039,*05rbv*,BAL,C,C,Basallo,Samuel,Basallo,Samuel
1789,Brandon Pfaadt,694297,694297,27782,11586,*05lg3*,ARI,SP,SP,Pfaadt,Brandon,Pfaadt,Brandon
1790,Zach Brzykcy,694350,694350,sa3014984,11744,*05ocn*,WSH,RP,RP,Brzykcy,Zach,Brzykcy,Zach
1791,Tyler Gentry,694355,694355,sa3014485,11602,*05jqw*,KC,DH,OF,Gentry,Tyler,Gentry,Tyler
1792,Ricky Tiedemann,694357,694357,sa3018096,11605,*05js6*,TOR,SP,SP,Tiedemann,Ricky,Tiedemann,Ricky
1793,Tekoah Roby,694358,694358,sa3014519,11899,*05jqh*,STL,SP,SP,Roby,Tekoah,Roby,Tekoah
1794,Will Klein,694361,694361,27787,11983,*05jrv*,OAK,RP,RP,Klein,Will,Klein,Will
1795,Blake Dunn,694362,694362,29487,11925,*05jr5*,CIN,OF,OF,Dunn,Blake,Dunn,Blake
1796,Jared Shuster,694363,694363,27472,10849,*05jp2*,CHW,SP,SP,Shuster,Jared,Shuster,Jared
1797,Adam Seminaris,694372,694372,sa3015010,10916,*05jr6*,MIL,SP,SP,Seminaris,Adam,Seminaris,Adam
1798,Shay Whitcomb,694376,694376,27789,12156,*05jqi*,HOU,3B,3B,Whitcomb,Shay,Whitcomb,Shay
1799,Nick Yorke,694377,694377,sa3014546,11145,*05js7*,PIT,2B,2B,Yorke,Nick,Yorke,Nick
1800,Nolan Schanuel,694384,694384,33189,11844,*05yj1*,LAA,1B,1B,Schanuel,Nolan,Schanuel,Nolan
1801,Joey Loperfido,694388,694388,29630,11952,*05yfl*,TOR,OF,OF,Loperfido,Joey,Loperfido,Joey
1802,Justice Bigbie,694425,694425,sa3016971,11932,*05ylo*,DET,OF,OF,Bigbie,Justice,Bigbie,Justice
1803,Hurston Waldrep,694462,694462,33527,11887,*0603p*,ATL,SP,SP,Waldrep,Hurston,Waldrep,Hurston
1804,Evan Carter,694497,694497,27790,11753,*05mdt*,TEX,OF,OF,Carter,Evan,Carter,Evan
1805,Sterlin Thompson,694514,694514,sa3019999,11938,*05jsc*,COL,3B,3B,Thompson,Sterlin,Thompson,Sterlin
1806,Chase Hampton,694633,694633,sa3020682,11930,*05yh3*,NYY,SP,SP,Hampton,Chase,Hampton,Chase
1807,Chayce McDermott,694646,694646,29866,11909,*05uws*,BAL,RP,RP,McDermott,Chayce,McDermott,Chayce
1808,Wyatt Langford,694671,694671,33333,11881,*060pm*,TEX,OF,OF,Langford,Wyatt,Langford,Wyatt
1809,Landen Roupp,694738,694738,30076,11634,*05y72*,SF,RP,RP,Roupp,Landen,Roupp,Landen
1810,Gavin Stone,694813,694813,27792,11587,*05mrx*,LAD,SP,SP,Stone,Gavin,Stone,Gavin
1811,Jacob Misiorowski,694819,694819,sa3020644,11894,*061yu*,MIL,SP,SP,Misiorowski,Jacob,Misiorowski,Jacob
1812,Ryan Murphy,694885,694885,sa3014871,11426,*05mrt*,SF,SP,SP,Murphy,Ryan,Murphy,Ryan
1813,Paul Skenes,694973,694973,33677,11885,*05wru*,PIT,SP,SP,Skenes,Paul,Skenes,Paul
1814,Rhett Lowder,695076,695076,sa3023360,11933,*061bo*,CIN,SP,SP,Lowder,Rhett,Lowder,Rhett
1815,Will Wagner,695238,695238,29634,12151,*05yhg*,TOR,2B,2B,Wagner,Will,Wagner,Will
1816,Mason Miller,695243,695243,31757,11787,*05ucd*,OAK,RP,RP,Miller,Mason,Miller,Mason
1817,Thomas Saggese,695336,695336,sa3014503,11895,*05mru*,STL,2B,2B,Saggese,Thomas,Saggese,Thomas
1818,Brett Harris,695391,695391,29788,12042,*05yca*,OAK,3B,3B,Harris,Brett,Harris,Brett
1819,Tyler Collins,695514,695514,sa3017168,8733,*05wdo*,ATL,OF,OF,Collins,Tyler,Collins,Tyler
1820,Chase Petty,695534,695534,sa3017963,12045,*05raz*,CIN,SP,SP,Petty,Chase,Petty,Chase
1821,Jackson Jobe,695549,695549,sa3018054,11897,*05rb0*,DET,SP,SP,Jobe,Jackson,Jobe,Jackson
1822,James Wood,695578,695578,29518,11750,*05rat*,WSH,OF,OF,Wood,James,Wood,James
1823,Colson Montgomery,695657,695657,sa3017170,11892,*05rch*,CHW,SS,SS,Montgomery,Colson,Montgomery,Colson
1824,Harry Ford,695670,695670,sa3017627,11937,*05raw*,SEA,C,C,Ford,Harry,Ford,Harry
1825,Josh Stephan,695776,695776,sa3015286,11958,*05y5g*,TEX,SP,SP,Stephan,Josh,Stephan,Josh
1826,Wilmer Flores,695865,695865,sa3015223,11623,*05ww2*,DET,SP,SP,Flores,Wilmer,Flores,Wilmer
1827,Hunter Goodman,696100,696100,29715,11848,*05u2v*,COL,C/OF,C/1B/ OF,Goodman,Hunter,Goodman,Hunter
1828,Mason Black,696131,696131,30171,11888,*05r3g*,SF,SP,SP,Black,Mason,Black,Mason
1829,Jordan Wicks,696136,696136,30094,11847,*05r1d*,CHC,SP,SP,Wicks,Jordan,Wicks,Jordan
1830,Sam Bachman,696147,696147,29754,11796,*05rb4*,LAA,RP,RP,Bachman,Sam,Bachman,Sam
1831,Bubba Chandler,696149,696149,sa3017428,12035,*05rik*,PIT,SP,SP,Chandler,Bubba,Chandler,Bubba
1832,Jacob Young,696285,696285,29931,11846,*05yaf*,WSH,OF,OF,Young,Jacob,Young,Jacob
1833,Ivan Melendez,699471,699471,sa3019859,11944,*060ih*,ARI,3B,3B,Melendez,Ivan,Melendez,Ivan
